Store,Theme,final_theme_score
광나루,단체모임,4.66
광나루,가성비,7.68
건대스타시티,분위기,5.77
건대스타시티,공간,10.45
건대스타시티,프라이버시,10.87
건대스타시티,서비스,6.0
건대스타시티,단체모임,6.45
건대스타시티,가성비,3.86
구의역,분위기,2.29
구의역,공간,5.24
구의역,프라이버시,2.58
구의역,서비스,4.4
구의역,단체모임,3.67
구의역,가성비,3.78
광장,분위기,4.19
광장,공간,10.21
광장,프라이버시,10.98
광장,서비스,6.51
광장,단체모임,5.97
광장,가성비,8.57
건국클래식,분위기,3.32
건국클래식,공간,8.12
건국클래식,프라이버시,8.49
건국클래식,서비스,5.51
건국클래식,단체모임,5.72
건국클래식,가성비,5.78
화양삼거리,분위기,26.58
화양삼거리,공간,42.87
화양삼거리,프라이버시,22.85
화양삼거리,서비스,28.19
화양삼거리,단체모임,28.45
화양삼거리,가성비,26.48
금천독산,분위기,3.64
금천독산,공간,7.44
금천독산,프라이버시,4.74
금천독산,서비스,4.88
금천독산,단체모임,5.0
금천독산,가성비,3.8
가산디지털,분위기,3.08
가산디지털,공간,6.08
가산디지털,프라이버시,3.48
가산디지털,서비스,4.52
가산디지털,단체모임,4.45
가산디지털,가성비,3.63
독산역,분위기,2.99
독산역,공간,5.61
독산역,프라이버시,5.04
독산역,서비스,5.15
독산역,단체모임,4.98
독산역,가성비,6.29
가산퍼블릭,분위기,24.89
가산퍼블릭,공간,20.4
가산퍼블릭,프라이버시,5.98
가산퍼블릭,서비스,44.41
가산퍼블릭,단체모임,24.5
가산퍼블릭,가성비,20.61
가산현대아울렛,분위기,4.73
가산현대아울렛,공간,6.35
가산현대아울렛,프라이버시,4.76
가산현대아울렛,서비스,5.31
가산현대아울렛,단체모임,4.76
가산현대아울렛,가성비,2.54
가산케이에스,분위기,9.41
가산케이에스,공간,16.56
가산케이에스,프라이버시,11.82
가산케이에스,서비스,12.65
가산케이에스,단체모임,13.0
가산케이에스,가성비,11.42
가산어반워크,분위기,45.24
가산어반워크,공간,94.7
가산어반워크,프라이버시,36.64
가산어반워크,서비스,97.28
가산어반워크,단체모임,53.46
가산어반워크,가성비,159.69
가산그레이트,분위기,5.04
가산그레이트,공간,8.1
가산그레이트,프라이버시,3.97
가산그레이트,서비스,6.01
가산그레이트,단체모임,5.8
가산그레이트,가성비,4.35
월계역,분위기,3.54
월계역,공간,5.72
월계역,프라이버시,7.19
월계역,서비스,5.31
월계역,단체모임,5.18
월계역,가성비,3.19
월계트레이더스,분위기,4.46
월계트레이더스,공간,6.27
월계트레이더스,프라이버시,3.86
월계트레이더스,서비스,4.0
월계트레이더스,단체모임,4.16
월계트레이더스,가성비,0.44
상계초교사거리,분위기,1.85
상계초교사거리,공간,3.9
상계초교사거리,프라이버시,1.69
상계초교사거리,서비스,3.82
상계초교사거리,단체모임,2.97
상계초교사거리,가성비,5.13
공릉DT,분위기,2.82
공릉DT,공간,5.45
공릉DT,프라이버시,1.48
공릉DT,서비스,4.23
공릉DT,단체모임,3.95
공릉DT,가성비,0.99
노원마들역,분위기,2.62
노원마들역,공간,4.63
노원마들역,프라이버시,2.54
노원마들역,서비스,3.96
노원마들역,단체모임,3.27
노원마들역,가성비,4.9
공릉역,분위기,2.1
공릉역,공간,4.79
공릉역,프라이버시,2.88
공릉역,서비스,4.18
공릉역,단체모임,3.57
